tt8788458						Japan		
tt8787802						United States	 Canada	2.20:1
tt8786654						United States	 USA	
tt8784956		497747	3293783	170349		United States	 USA	2.39:1
tt8783930						United States	 USA	
tt8781414	2000	276591	368410	161543		United States	 Canada	2.35:1
tt8778064						United States	 USA	1.85:1
tt8772296						United States	 USA	
tt8772262	9000000	27426361	47969371	6560030		United States	 Hungary	2.00:1
tt8767908		374739	1866680	64988		Canada	 Canada	1.85:1
tt8762206						United States	 USA	1.78:1
tt8760684		9039891	15342353	1607040		United States	 Space	2.20:1
tt8760280		2753985	3326885	920476		United States	 Ireland	2.39:1
tt8755226						United States	 USA	2.00:1
tt8752498						United States		
tt8752474						United States		1.78:1
tt8750570	16000000					United States	Jordan	2.00:1
tt8747450						India		
tt8747160						United States	 USA	2.39:1
tt8745960			75407			United States	 USA	2.39:1
tt8743064						United States	 USA	
tt8741648						United Kingdom	New Zealand	2.39:1
tt8741290						United States	 Canada	1.78:1
tt8740790						United States	 UK	2.00:1
tt8739752			7080720			Germany	 Germany	2.35:1
tt8738964			30114115			Poland	 Poland	
tt8737152			3256411			Serbia		
tt8725166						New Zealand		
tt8722888						United States	 USA	2.20:1
tt8722346	18000000	43808310	47863608	11890490		United States	 USA	2.39:1
tt8721556			248800			India	India	2.35:1
tt8721424	55000000		112777			United States	 USA	2.39:1
tt8718300						United States		2.35:1
tt8718158		5600	1550834			United States	 USA	2.39:1
tt8714904						United States	Mexico	
tt8712204						United States	 Canada	2.00:1
tt8709036						United States	Romania	1.78:1
tt8708280						United Kingdom	 UK	
tt8707922			1378160			United States		1.85:1
tt8704802	50000					United States	 USA	1.78:1
tt8698956			289845			India		
tt8697870						United Kingdom		
tt8695030		6563605	15325468	2540240		United States	 USA	
tt8693266						Spain	 Spain	
tt8690918						United States	 Canada	
tt8690776						Spain	 Spain	2.35:1
tt8688814						United States		
tt8688634	33000000	28539757	49939757	9261268		China	 USA	2.39:1
tt8685324						United Kingdom	 UK	
tt8681148						United Kingdom		
tt8679236						United States		
tt8667956						Austria	Czech Republic	
tt8664988	8778000		2794392			Russia		2.39:1
tt8663516	10000000	29208403	44907074	14094594		Canada	 Canada	2.39:1
tt8655470			19387647			France	 France	2.35:1
tt8652818			20339624			Japan		2.35:1
tt8652728	6000000	1658790	2576990	134333		United States	 USA	1.33:1
tt8652642						United States	 Canada	2.00:1
tt8649186		127240	9943901	4632		Poland	 Poland	2.39:1
tt8647400		425934	1473116	425934		India	 UK	
tt8647310		29118	29118	13796		United States	 Canada	2.35:1
tt8639136		180	160187	46		Netherlands	 Indonesia	2.39:1
tt8637504						United States		2.35:1
tt8637428		17695781	23076657	355662		United States	 China	2.35:1
tt8635092						United Kingdom	 UK	2.35:1
tt8634332						United States	 USA	1.78:1
tt8633478			5184368			United States	 Canada	2.39:1
tt8633464		46872	672154	46872		United States		2.35:1
tt8633462	4500000		812957			Bosnia and Herzegovina	 Bosnia and Herzegovina	1.85:1
tt8633062						United States	 New Zealand	
tt8632862	5000000	6352306	6674168	3008563		United States	 USA	1.78:1
tt8629748						United States	 USA	2.00:1
tt8623904	25000000	35150750	123446172	11441055		United Kingdom	 United Kingdom	2.00:1
tt8618654						United States		
tt8618118			132114			Poland	 Poland	2.35:1
tt8615822			343414			Australia	 Australia	2.35:1
tt8613876						Germany		2.39:1
tt8613070		3759854	10028667	67344		France	 France	1.85:1
tt8610436		648665	1249115	273530		United Kingdom	 UK	1.85:1
tt8610082						United States	 USA	
tt8597594		12589	15443	7788		United States		2.35:1
tt8595766						India	 India	
tt8595140						United States	 USA	
tt8594510						United Kingdom	 UK	
tt8594324						United Kingdom	 Uk	
tt8594276						United States	 Canada	
tt8593904			2319180			Spain	 Spain	2.00:1
tt8580274						United States	 Iceland	1.85:1
tt8579674	95000000	159227644	384479940	576216		United Kingdom	 UK	2.39:1
tt8577458						United States	 USA	
tt8574252	5500000		24343708			South Korea		2.35:1
tt8569206						India		
tt8564902	6000000	5885881	5885881	2356522		United States	 Germany	
tt8563452			20440			United States	 USA	2.66:1
tt8561086						India		2.39:1
tt8550800						United States	 USA	2.00:1
tt8550208		236299	6111065	142102		India	 India	2.39:1
tt8550054	19000000	106789	393824	16368		Sweden	 USA	1.85:1
tt8544498		13590514	15490514	8170315		United States	 USA	2.39:1
tt8543390						United States		
tt8535968			546444			Germany	 Germany	1.85:1
tt8531222						United States		
tt8530978						United States	 USA	2.35:1
tt8526872						United States	 USA	2.00:1
tt8526370	2000000		208419			Italy	 Italy	2.39:1
tt8523042						South Korea	 Morocco	
tt8522820						Iran	 Iran	1.85:1
tt8522006			2110618			United States	 USA	2.35:1
tt8521876						United States	 USA	2.00:1
tt8521736						United States	 Canada	1.85:1
tt8521718			1312432			United States	 Canada	2.39:1
tt8518136						United States	 USA	1.78:1
tt8515016						Japan		
tt8510488						United States	South Africa	1.78:1
tt8510382						United States	 USA	1.78:1
tt8510350						United States	 USA	1.85:1
tt8508734						United Kingdom	 UK	2.39:1
tt8504014			13058135			India	 India	
tt8503618						United States	 USA	1.85:1
tt8494614						United States	 USA	
tt8488126						United States		
tt8485364	4000000		44291			France		2.39:1
tt8482584		3689637	3713294	251569		United States	 USA	2.39:1
tt8478162						Turkey	 Turkey	
tt8461224	20000000	1044212	1325781	309694		United States	 USA	1.85:1
tt8456098			1155281			Turkey	 Turkey	1.78:1
tt8443704						Taiwan		
tt8442644			10327763			Turkey	 Turkey	2.39:1
tt8439854						India	 India	
tt8436026	55000000					Denmark	Austria	1.85:1
tt8435002			635058			Australia	 Australia	2.39:1
tt8433210						United States	 USA	2.39:1
tt8430598			275863			United States		1.85:1
tt8430356						United Kingdom	 UK	
tt8430054	3400000	339754	712229	24794		Denmark		2.40:1
tt8426926	25000000		608342			India		2.39:1
tt8426594		28252	130974	14138		United States	 USA	2.39:1
tt8425532						United States	 UK	2.00:1
tt8425404						United Kingdom	 UK	
tt8421350						United States	 USA	1.33:1
tt8417308						United Kingdom	 Spain	
tt8416494						United States	 USA	2.20:1
tt8413338			1312005			India		
tt8411144			605756			India	 USA	2.39:1
tt8409626						Finland	 UK	
tt8404614			243711			United Kingdom	 Italy	1.85:1
tt8404256	88000000	28264325	40064325	13367853		United States	Japan	2.39:1
tt8404094						United States	 USA	
tt8403536						United States		
tt8402090	1500000		445125			Turkey	 Turkey	
tt8400758	26000000		100581			United Kingdom	 UK	2.35:1
tt8399664		4507	1146327	2487		Australia	 Australia	1.66:1
tt8399288		52656	588713	6797		Colombia	Colombia	1.85:1
tt8398600						United Kingdom	 UK	1.78:1
tt8393332			2579646			Spain	 Spain	2.35:1
tt8392006						India		
tt8390342						United States	 USA	
tt8388508			164714			India		2.39:1
tt8388390						United States	 Canada	2.00:1
tt8387348						Mexico	 Mexico	
